12059,1159
7334,727
14964,11
13026,1326
10074,318
10207,236
7830,1780
7983,0
6768,339
14157,561
11377,1354
11329,754
10758,890
9142,1581
9645,59
7279,175
8543,1719
10407,409
11715,96
11631,306
14853,1688
10549,328
11768,1769
8466,656
9201,209
7599,1357
10074,318
9941,1001
11000,532
9026,795
7687,1034
9742,827
13030,1062
11012,0
10546,1865
13156,1051
13169,169
10876,1905
14172,1375
6762,1247
9283,1512
9342,328
10295,416
9299,1207
9986,79
10196,1112
11094,902
10993,36
14842,967
14911,370
12033,322
9864,687
6797,583
10932,640
15224,473
7892,400
10174,318
11763,1097
10012,1119
9158,1257
14911,370
10299,1758
14241,1217
11922,673
12222,717
11838,0
9363,1464
13057,830
9251,1472
11142,852
9876,386
11912,227
10876,0
7752,1766
12348,0
9858,989
15117,287
7334,727
7983,0
11671,0
12033,322
6789,0
11765,649
13019,853
10932,640
10888,0
13584,1063
6762,1247
9342,328
11684,323
15224,473
10070,0
7682,1395
9790,440
10207,236
10174,318
10012,1119
10993,36
6797,583
9283,1512
8543,1719
11377,1354
9026,795
10758,890
6769,318
11631,306
9299,1207
9742,827
13030,1062
13019,0
9606,0
10196,1112
11094,902
13136,1425
9941,1001
11080,3
7882,393
11080,3
9957,124
12189,1782
8511,541
7817,1827
9330,861
11951,894
7882,393
7687,1034
6890,219
13662,1636
10837,0
8811,1550
7599,1357
10260,1624
12189,1782
7882,393
9742,827
8811,1550
10941,264
10947,1368
7817,1827
9991,797
8811,1550
6890,219
6604,1046
10675,1722
10993,36
7983,1964
10002,816
6997,872
9440,647
9299,1207
10207,236
7615,135
10941,264
10947,1368
12594,1237
8885,754
9026,795
9700,1463
7817,1827
6769,318
6890,219
10837,2003
9965,1562
11768,1769
13169,169
7896,533
9158,1257
7901,1843
14241,1217
9886,1331
11765,649
5782,160
11551,1648
9363,1464
9850,362
13057,830
11684,323
11779,660
7564,1926
12848,528
12348,1922
14751,445
14157,561
10962,1370
13026,1326
11197,779
10758,890
8519,69
11637,88
10189,390
15013,133
9886,1331
9715,390
9606,0
11707,840
9645,59
5903,853
11174,434
9543,753
11124,130
12497,934
10128,1854
10079,380
10984,710
9251,1472
10961,21
12392,267
7426,34
11465,1338
9858,989
5972,110
6793,1755
13348,1427
11458,296
11637,0
11715,1498
14616,42
5903,853
12222,717
11352,0
11838,1988
10218,578
14444,742
7641,1598
9790,440
10984,710
10962,1370
12392,267
6793,0
10894,714
11671,0
10079,380
11489,714
9007,14
8918,1310
6793,1755
10079,1446
5782,160
9602,709
10170,345
10120,192
9850,362
10174,318
14842,967
7901,0
14911,370
10012,1119
9189,246
6797,583
11765,649
11551,1648
12222,717
12422,777
12207,0
11099,740
10858,230
9007,14
9273,16
6762,0
9739,1469
10337,647
14559,1267
10120,192
10937,377
12848,528
10407,409
14964,11
9996,992
11974,920
6997,872
11011,1680
11099,1410
11637,88
9413,1612
9201,209
13156,1051
11912,227
9858,989
15013,133
8918,1310
11922,673
11707,840
8767,0
11814,0
11694,1260
13291,811
10170,345
10128,0
10712,908
10911,0
6838,1393
7843,1229
8975,1347
9839,983
11919,1086
7740,1413
7752,0
13672,1843
10312,1236
8999,1833
14178,1313
6974,103
11838,0
10295,416
14534,1115
11855,0
7630,1810
7415,324
9744,1637
12005,0
11029,0
11359,1712
12489,1338
14289,1341
7386,1557
10935,0
9789,0
6882,0
10549,328
11012,0
10074,318
10851,197
14935,1906
10014,664
13672,1843
11378,1070
7475,174
10958,281
12594,1237
9686,1650
11919,1086
9957,124
13672,1843
10675,0
11378,1070
7689,790
10851,197
12601,800
10712,908
11013,321
10911,0
9744,1637
13259,198
13445,1688
15319,1674
15050,399
12149,1612
9968,372
8975,1347
10028,806
9157,156
11131,1527
9839,983
7740,1413
15082,0
9192,1452
10993,1533
9099,853
9968,372
12601,800
11800,548
10911,2021
9686,1650
11919,1086
6838,1393
13259,198
7843,1229
10312,1236
12149,1612
9465,152
9330,861
7689,790
8975,1347
14178,1313
